站点,站名,经度,纬度
新余北,XBG,114.896673,27.912147
信阳东,OYN,114.160429,32.143908
咸阳秦都,XOY,108.667045,34.331401
仙游,XWS,118.87177,25.250285
新郑机场,EZF,113.848198,34.526219
迎宾路,YFW,103.641069,30.98086
运城北,ABV,110.984681,35.099503
永川东,WMW,105.948833,29.371054
宜春,YEG,114.436214,27.788578
岳池,AWW,106.470821,30.536892
云浮东,IXQ,112.1389,23.012411
永福南,YBZ,109.999291,24.998671
永济北,AJV,110.424626,35.028019
弋江,RVH,118.378982,31.249214
于家堡,YKP,117.68496,39.004245
延吉西,YXL,129.415056,42.904383
永康南,QUH,120.031306,28.849055
杨陵南,YEY,108.053149,34.253937
郁南,YKQ,111.469954,23.245811
阳朔,YCZ,110.568201,24.959715
玉山南,YGG,118.29335,28.647082
银滩,CTQ,117.027839,28.23545
永泰,YTS,118.934424,25.848698
鹰潭北,YKG,117.038723,28.30569
烟台南,YLK,121.392158,37.432308
尤溪,YXS,118.1417,26.166945
云霄,YBS,117.361905,23.891284
宜兴,YUH,119.813704,31.312218
余姚北,CTH,121.168082,30.097033
诏安,ZDS,117.0976,23.772125
正定机场,ZHP,114.70934,38.252036
纸坊东,ZMN,114.345171,30.353792
庄河北,ZUT,122.934257,39.726149
芷江,ZPQ,109.659124,27.455716
左岭,ZSN,114.609881,30.499653
驻马店西,ZLN,113.978624,33.000461
漳浦,ZCS,117.563179,24.09638
肇庆东,FCQ,112.662666,23.213382
庄桥,ZQH,121.535366,29.92345
钟山西,ZAZ,111.332216,24.552388
资阳北,FYW,104.682573,30.125461
张掖西,ZEJ,100.42797,38.923236
资中北,WZW,104.871981,29.79665
涿州东,ZAP,116.053207,39.45966
卓资东,ZDC,112.627375,40.926198
郑州东,ZAF,113.778851,34.759462
春申,CSA,121.354193,31.079416
新桥,XQH,121.323057,31.058825
车墩,MIH,121.320586,31.005134
叶榭,YOH,121.329533,30.940374
亭林,TVH,121.358483,30.894812
金山园区,REH,121.36745,30.829967
金山卫,BGH,121.362685,30.72823
